case_index,geometry_mode,collection_na,collection_direction,integration_quantity_for_colour,n_layers,n_layers_total,outer_layer,actual_outer_layer,diameter_nm,outer_radius_nm,core_radius_nm,t_a_nm,t_b_nm,core_thickness_factor,design_peak_wavelength_nm,peak_wavelength_m,Qsca_max,Qsca_peak_wavelength_nm,Qext_max,Qabs_max,Csca_max_m2,Ccollected_max_m2,fraction_collected_max,fraction_collected_mean,spectrum_peak_wavelength_nm,spectrum_peak_value,spectrum_integral,spectrum_centroid_nm,CIELAB_L,CIELAB_a,CIELAB_b,CIELAB_C,CIELAB_hue_deg,Performance in Rosch-MacAdam Solid_eta_C,Performance in Rosch-MacAdam Solid_eta_L,Performance in Rosch-MacAdam Solid_eta_Y,XYZ_X,XYZ_Y,XYZ_Z,xyY_x,xyY_y,xyY_Y,sRGB_r,sRGB_g,sRGB_b,sRGB_r_clipped,sRGB_g_clipped,sRGB_b_clipped,sRGB_was_clipped,HSV_h,HSV_s,HSV_v,Hex_hex,Input Spectrum Info_normalize_input,Input Spectrum Info_normalization,Input Spectrum Info_input_min,Input Spectrum Info_input_max,Input Spectrum Info_used_min,Input Spectrum Info_used_max,Warnings_messages
0,peak_wavelength,0.8,backward,c_collected_m2,7,7,A,A,894.946845715,447.473422857,34.7650809923,69.5301619847,68.0392853036,0.5,450.0,4.5e-07,3.71726124889,420.0,3.71726124889,5.37347943919e-14,2.33833887074e-12,7.69479455388e-15,0.00380740296325,0.00269885838359,411.0,7.69479455388e-15,1.50497770072e-12,533.413121234,85.5889522297,-16.3268162436,-7.36329527336,17.9104172463,204.275086431,0.197924777694,0.535234461244,0.446190551888,56.9625791604,67.1684730683,82.7691451623,0.275314281372,0.324641899405,67.1684730683,0.665731395849,0.876854165199,0.890925354459,0.665731395849,0.876854165199,0.890925354459,False,0.51041412578,0.252764114842,0.890925354459,#A9DFE3,True,max,2.56603235649e-15,7.69479455388e-15,0.333476396091,1.0,[]
1,peak_wavelength,0.8,backward,c_collected_m2,7,7,B,B,893.455969034,446.727984517,34.0196426518,69.5301619847,68.0392853036,0.5,450.0,4.5e-07,3.77454601102,424.0,3.77454601102,3.64153152077e-14,2.36646951555e-12,1.17867232378e-14,0.00517599634896,0.0031677749026,410.0,1.17867232378e-14,1.86558287142e-12,520.987780789,75.9005086315,-7.27735466648,-18.7817439943,20.1423384543,248.820165352,0.266854094204,0.706536379107,0.685716088944,44.7047112436,49.7255708375,75.7842973675,0.262637380349,0.292134616192,49.7255708375,0.589526661315,0.755454326418,0.867433820368,0.589526661315,0.755454326418,0.867433820368,False,0.567156416752,0.320378514796,0.867433820368,#96C0DD,True,max,2.64677147649e-15,1.17867232378e-14,0.224555325777,1.0,[]
2,peak_wavelength,0.8,backward,c_collected_m2,9,9,A,A,1170.08574029,585.042870146,34.7650809923,69.5301619847,68.0392853036,0.5,450.0,4.5e-07,3.6926652357,503.0,3.6926652357,1.84741111298e-13,3.97068278082e-12,2.08031595182e-14,0.00661075445987,0.00313088824204,408.0,2.08031595182e-14,3.39975071502e-12,524.247262866,75.3977020304,8.07262954182,-21.0735318547,22.5668139654,290.960317716,0.213763680942,0.422052597587,0.582590914028,49.4073610469,48.9138516601,77.6268768349,0.280806464995,0.278001607107,48.9138516601,0.70984985458,0.715945982559,0.879915472361,0.70984985458,0.715945982559,0.879915472361,False,0.660692376606,0.193274948701,0.879915472361,#B5B6E0,True,max,5.62569686648e-15,2.08031595182e-14,0.270425117951,1.0,[]
3,peak_wavelength,0.8,backward,c_collected_m2,9,9,B,B,1168.59486361,584.297431805,34.0196426518,69.5301619847,68.0392853036,0.5,450.0,4.5e-07,3.748282676,508.0,3.748282676,5.50670620214e-14,4.02022317933e-12,3.00375674423e-14,0.00924289861555,0.00369440242208,413.0,3.00375674423e-14,4.05998953436e-12,514.401398596,67.3915978046,11.1086760631,-31.5637476577,33.4615129675,289.389220822,0.326711016501,0.569997253414,0.722538840359,38.688400145,37.1529170259,73.387399713,0.259255731423,0.248966270043,37.1529170259,0.598425463532,0.628247645399,0.865820143617,0.598425463532,0.628247645399,0.865820143617,False,0.648078549495,0.308833979039,0.865820143617,#98A0DC,True,max,5.7060416562e-15,3.00375674423e-14,0.189963507104,1.0,[]
4,peak_wavelength,0.8,backward,c_collected_m2,11,11,A,A,1445.22463487,722.612317434,34.7650809923,69.5301619847,68.0392853036,0.5,450.0,4.5e-07,3.68605300609,612.0,3.68605300609,6.92690349524e-12,6.04675217025e-12,4.35022267413e-14,0.0141065503521,0.00474490545531,400.0,4.35022267413e-14,6.71708038163e-12,519.326519198,75.5748655908,-10.6210363992,-17.3564184096,20.3482597339,238.535989578,0.272149175309,0.793913755229,0.738199231646,43.0872549282,49.1988443997,73.264108762,0.260266993472,0.297183826993,49.1988443997,0.560811204545,0.758463950928,0.853241715187,0.560811204545,0.758463950928,0.853241715187,False,0.554017256984,0.342728801741,0.853241715187,#8FC1D9,True,max,8.44581112071e-15,4.35022267413e-14,0.194146639227,1.0,[]
5,peak_wavelength,0.8,backward,c_collected_m2,11,11,B,B,1443.73375819,721.866879093,34.0196426518,69.5301619847,68.0392853036,0.5,450.0,4.5e-07,3.73785175939,617.0,3.73785175939,4.84057238737e-14,6.11908065954e-12,5.19824423676e-14,0.0159093654845,0.00551982828928,411.0,5.19824423676e-14,7.71652179673e-12,513.383782736,72.206467379,-4.18930645783,-27.6809346946,27.9961503454,261.394012963,0.355700919385,0.672721616641,0.721657783802,40.4225368139,43.9670492427,79.0765508406,0.247283856957,0.268967323002,43.9670492427,0.526906136444,0.712431841746,0.890457796159,0.526906136444,0.712431841746,0.890457796159,False,0.581614239983,0.408275003356,0.890457796159,#86B5E3,True,max,8.56181418794e-15,5.19824423676e-14,0.164705885256,1.0,[]
6,peak_wavelength,0.8,backward,c_collected_m2,7,7,A,A,999.871305794,499.935652897,38.8767527531,77.7535055063,75.9327945417,0.5,500.0,5e-07,3.69652983877,464.0,3.69652983877,7.4162898045e-14,2.90250053207e-12,1.43729564551e-14,0.00522869670388,0.00262261903105,400.0,1.43729564551e-14,2.00176069363e-12,528.361035149,71.8781336687,8.94995978571,-12.1799392336,15.1146518286,306.308874788,0.10641918038,0.407855867238,0.60563208217,44.3227858855,43.4778947701,59.7116278035,0.300468390391,0.294740792984,43.4778947701,0.715418273674,0.673294571205,0.777961518622,0.715418273674,0.673294571205,0.777961518622,False,0.733742446094,0.134540006043,0.777961518622,#B6ABC6,True,max,2.94763314516e-15,1.43729564551e-14,0.205081894903,1.0,[]
7,peak_wavelength,0.8,backward,c_collected_m2,7,7,B,B,998.05059483,499.025297415,37.9663972709,77.7535055063,75.9327945417,0.5,500.0,5e-07,3.75910332966,470.0,3.75910332966,4.57411886146e-14,2.94089325098e-12,1.55047795382e-14,0.0055788412149,0.00330805604814,400.0,1.55047795382e-14,2.60660108993e-12,527.063604547,80.4028727223,-11.7372494858,-13.5512344305,17.9276038578,229.102893985,0.236703599038,0.707602703435,0.614317643838,50.0606298146,57.397894201,79.0792339239,0.26836727517,0.307701211996,57.397894201,0.622673428817,0.812048109792,0.879086060417,0.622673428817,0.812048109792,0.879086060417,False,0.543574264267,0.29168092084,0.879086060417,#9ECFE0,True,max,3.11494835627e-15,1.55047795382e-14,0.200902460341,1.0,[]
8,peak_wavelength,0.8,backward,c_collected_m2,9,9,A,A,1307.24390589,653.621952945,38.8767527531,77.7535055063,75.9327945417,0.5,500.0,5e-07,3.68728104912,557.0,3.68728104912,3.13082892944e-13,4.94890793336e-12,3.18599440739e-14,0.0092071418387,0.00380323018479,420.0,3.18599440739e-14,4.86107906486e-12,522.993911106,71.0481017774,6.26921809107,-28.7920278977,29.4666585472,282.283929242,0.315746256083,0.539035772705,0.683209835304,42.2109883045,42.2575143422,77.9129389611,0.259949584673,0.260236107795,42.2575143422,0.609571319526,0.677064255862,0.886440259826,0.609571319526,0.677064255862,0.886440259826,False,0.626037975307,0.312337957614,0.886440259826,#9BACE2,True,max,7.48924710499e-15,3.18599440739e-14,0.235067804501,1.0,[]
9,peak_wavelength,0.8,backward,c_collected_m2,9,9,B,B,1305.42319493,652.711597463,37.9663972709,77.7535055063,75.9327945417,0.5,500.0,5e-07,3.74745483585,562.0,3.74745483585,1.20792265079e-13,5.01566981521e-12,3.53090826989e-14,0.00929606606814,0.00442677481011,459.0,3.53090826989e-14,5.76889333151e-12,520.663521945,75.5938775821,-7.12602747742,-27.8068236847,28.7053951557,255.62619866,0.372680855567,0.654101279349,0.66872187032,44.3022644256,49.2294934933,87.2143954929,0.245107647324,0.272368139316,49.2294934933,0.531188238742,0.755032826066,0.929039271093,0.531188238742,0.755032826066,0.929039271093,False,0.572894304182,0.428239197987,0.929039271093,#87C0EC,True,max,7.72666886663e-15,3.53090826989e-14,0.218829498702,1.0,[]
