hue_deg,max_chroma,a,b,L,R,G,B,a_smooth,b_smooth,L_smooth,hex_smooth
0.0267884382393,97.4783237029,97.4783130486,0.0455756424163,50.8196570251,1.0,0.0,0.4901445569,97.4568589353,0.108768601143,50.2082468198,#FF007B
1.13281886962,96.916935259,96.8979930243,1.91606050533,48.6628005955,0.977811655942,0.0,0.457027881483,96.9081839288,1.82777427696,49.4263689335,#FC0077
2.06368944295,96.4255130855,96.3629730057,3.47232016242,47.9322607879,0.967590604878,0.0,0.440077941509,96.4040062296,3.56063870148,49.2257278553,#FB0073
3.32474432022,96.0571963037,95.8955189156,5.57085394015,50.7855708957,1.0,0.0,0.454507879931,95.9302983879,5.30741930079,49.3571541942,#FB0071
4.27922533899,95.7722473701,95.5052586926,7.14625275139,50.0661999226,0.99488960061,0.0,0.437520107674,95.4765329126,7.06453683141,49.6226611079,#FC006F
5.02094893768,95.5100213279,95.1435269246,8.35903453814,50.7706876001,1.0,0.0,0.436606505686,95.035682271,8.82477538038,49.8754443029,#FD006C
6.20390064013,95.1995614965,94.6420356584,10.2879344654,48.6193489133,0.975234563637,0.0,0.403799922489,94.6042188892,10.5772823652,50.0198820346,#FD006A
7.70819642514,94.9317140762,94.0739132185,12.7329960811,50.0397978664,0.993243550051,0.0,0.401873448531,94.1618898185,12.3685035917,49.6583314679,#FC0066
8.67186930074,94.7872416451,93.7036369974,14.2915916586,49.3196771102,0.983577907823,0.0,0.385232465727,93.7418640113,14.0774958107,49.524275552,#FB0063
9.42840413955,94.6888810736,93.4097358181,15.5114619992,50.0284438387,0.992474279867,0.0,0.384196686549,93.382368877,15.6354279558,49.6184373533,#FC0061
10.4293102421,94.6122253969,93.0491364147,17.1269205354,49.3089243906,0.982818540832,0.0,0.36727509461,93.0583066453,17.0594744345,49.5451269727,#FB005E
11.1876349173,94.5614203339,92.7644744381,18.3470569248,50.0179207803,0.991723934501,0.0,0.366176939164,92.741613626,18.4607182492,49.6112333786,#FC005C
12.2185786505,94.5590658734,92.41704952,20.0126434253,49.29899661,0.982082668096,0.0,0.349012668687,92.4011133973,20.049446631,49.4785138076,#FB0059
13.2746406312,94.5641493374,92.0374518634,21.7137236419,48.5770215344,0.972215460182,0.0,0.331685832383,91.9996707253,21.9617464535,49.4171226321,#FB0056
14.7847550902,94.6782656473,91.5435934195,24.1608048257,49.9992734208,0.990297059385,0.0,0.329234589419,91.5976447589,23.9347455062,49.3240480417,#FA0053
15.8481345963,94.8377098911,91.2328251088,25.8990895607,49.2815200307,0.980697917899,0.0,0.311731969226,91.2395632283,25.8190504981,48.892125886,#F9004F
16.9185613663,95.0087032202,90.8966656304,27.6486864944,48.5607212395,0.970881293241,0.0,0.294207397467,90.8981832841,27.6189275834,48.4302126237,#F7004B
17.984616803,95.1900185127,90.5389817771,29.3910258958,47.8369408291,0.96085580302,0.0,0.276773295909,90.5858861475,29.2583131859,48.385978373,#F70048
18.7186201609,95.424970298,90.3775651558,30.6238579031,48.5537041713,0.970271920789,0.0,0.275329498043,90.291709596,30.8507104108,48.5186762927,#F70046
19.7574798475,95.6826400604,90.0499841573,32.3445198169,47.830502221,0.960281941974,0.0,0.258045894954,90.0017763477,32.4846953648,49.0219946728,#F90044
20.9296367618,95.9800106503,89.6472325962,34.2860924031,50.6833154514,0.997103699339,0.0,0.270644464004,89.7490935705,34.2001866122,49.2708911623,#FA0042
21.9332192371,96.4457146627,89.4649589075,36.0249497497,49.9709230521,0.987847776115,0.0,0.253150794484,89.4964731652,35.8819047149,49.4181074895,#FA0040
22.9059204485,96.9069209819,89.2653443298,37.7180279956,49.2554067576,0.978379894464,0.0,0.235943387474,89.223001631,37.6743342717,49.5969740092,#FB003D
23.8414326916,97.356984743,89.049280567,39.3523583632,48.5368080258,0.968705376539,0.0,0.219091125622,89.0034117904,39.4126242557,49.0777908026,#F90039
